,imdbID,Title,Domestic Gross,Opening Weekend,Domestic Multiplier,Rotten Tomatoes Score,Metascore,imdbRating,imdbVotes,Year,Month,budget,popularity,vote_average,vote_count
110,tt0113326,Rumble in the Bronx,32392047.0,9858380.0,3.285737311809851,80.0,61.0,6.7,36365.0,1995,1.0,7500000.0,12.314278,6.5,245.0
111,tt0115645,Before and After,8797839.0,4023815.0,2.186442219634849,32.0,,6.1,7723.0,1996,2.0,35000000.0,2.938293,5.8,37.0
114,tt0112373,Anne Frank Remembered,1310200.0,26697.0,49.076675281866876,97.0,,8.0,925.0,1995,6.0,,0.243986,7.3,4.0
115,tt0115033,The Young Poisoner's Handbook,536825.0,,,86.0,,7.1,3315.0,1995,1.0,,6.178497,6.9,19.0
116,tt0116606,If Lucy Fell,2420162.0,1308088.0,1.8501522833326198,18.0,,4.9,3664.0,1996,3.0,,2.891918,5.4,11.0
117,tt0114536,Steal Big Steal Little,3150170.0,1761890.0,1.7879493044401182,15.0,,4.7,869.0,1995,9.0,25000000.0,1.522412,5.1,7.0
118,tt0117427,Race the Sun,1945552.0,1116504.0,1.7425392116821794,22.0,,5.4,2934.0,1996,3.0,,1.317878,5.2,21.0
120,tt0103859,Boomerang,70052444.0,13640706.0,5.135543864078589,44.0,45.0,5.5,24040.0,1992,6.0,40000000.0,6.506983,5.4,139.0
121,tt0109424,Chungking Express,600200.0,32779.0,18.31050367613411,87.0,77.0,8.1,54498.0,1994,7.0,,6.778979,7.9,249.0
122,tt0114808,The Star Maker,371674.0,40915.0,9.084052303556152,75.0,,7.4,4536.0,1995,9.0,,1.702639,6.8,29.0
123,tt0116324,Flirting with Disaster,14702438.0,164458.0,89.39934816184072,87.0,81.0,6.8,16670.0,1996,3.0,7000000.0,5.579088,6.3,66.0
126,tt0110217,Jupiter's Wife,10622.0,3673.0,2.8919139667846445,80.0,,7.2,226.0,1995,1.0,,0.001178,0.0,0.0
129,tt0113107,Frankie Starlight,103365.0,12694.0,8.142823381124941,71.0,,6.7,800.0,1995,11.0,,0.637554,5.4,4.0
130,tt0113451,Jade,9851610.0,4284246.0,2.299496807606286,14.0,,5.3,10737.0,1995,10.0,50000000.0,11.418917,5.1,45.0
133,tt0116130,Down Periscope,25785603.0,7231087.0,3.565937320350315,12.0,39.0,6.1,19875.0,1996,3.0,,5.184977,5.6,110.0
135,tt0113756,Man of the Year,209935.0,26147.0,8.029028186790072,25.0,,6.1,301.0,1995,9.0,,0.5404359999999999,3.8,2.0
136,tt0113952,The Neon Bible,78072.0,5045.0,15.475123885034687,55.0,60.0,6.2,718.0,1995,8.0,,0.370342,7.2,5.0
138,tt0118055,Up Close & Personal,51088705.0,11101955.0,4.601775543136322,31.0,,6.2,12852.0,1996,3.0,60000000.0,3.4027489999999996,5.9,51.0
139,tt0115685,The Birdcage,124060553.0,18275828.0,6.788231592024175,79.0,72.0,7.1,74294.0,1996,3.0,31000000.0,6.4996800000000015,6.7,303.0
141,tt0112585,The Brothers McMullen,10426506.0,167815.0,62.13095372880851,89.0,73.0,6.6,7022.0,1995,8.0,,2.039196,6.3,23.0
142,tt0112442,Bad Boys,65807024.0,15523358.0,4.239226074667608,42.0,41.0,6.9,212572.0,1995,4.0,19000000.0,9.262184,6.5,1729.0
143,tt0112342,The Amazing Panda Adventure,7506759.0,2413107.0,3.1108272447098284,20.0,,5.8,3585.0,1995,8.0,,2.375865,5.0,31.0
144,tt0112461,The Basketball Diaries,2381087.0,765335.0,3.1111696185330606,46.0,46.0,7.3,96086.0,1995,4.0,,7.4151440000000015,7.2,472.0
145,tt0112427,An Awfully Big Adventure,259724.0,49429.0,5.254486232778328,36.0,,6.0,2355.0,1995,7.0,4000000.0,0.922958,6.0,11.0
146,tt0109093,Amateur,757088.0,,,78.0,53.0,7.0,5151.0,1994,8.0,,1.7590119999999998,6.5,21.0
147,tt0112384,Apollo 13,172071312.0,25353380.0,6.7869180361750585,95.0,77.0,7.6,251415.0,1995,6.0,52000000.0,18.761467,7.3,1637.0
148,tt0114287,Rob Roy,31596911.0,2023272.0,15.616739123558276,73.0,55.0,6.9,38760.0,1995,4.0,28000000.0,10.193549,6.5,151.0
149,tt0112288,The Addiction,307308.0,46448.0,6.616172924560799,75.0,,6.4,8060.0,1995,1.0,,3.137285,6.4,46.0
150,tt0112462,Batman Forever,184031112.0,52784433.0,3.4864656403527152,39.0,51.0,5.4,223521.0,1995,6.0,100000000.0,13.321354000000001,5.2,1529.0
151,tt0061395,Belle de Jour,4037017.0,,,96.0,,7.7,36605.0,1967,5.0,,10.142662,7.3,163.0
152,tt0112495,Beyond Rangoon,5750110.0,2007527.0,2.864275299908793,39.0,,6.6,4544.0,1995,5.0,,2.04189,6.4,21.0
153,tt0112541,Blue in the Face,1268636.0,104365.0,12.155761030996981,41.0,54.0,6.7,8577.0,1995,9.0,2000000.0,11.528147,6.8,28.0
154,tt0109370,Canadian Bacon,163971.0,53349.0,3.073553393690603,14.0,,6.0,15195.0,1995,6.0,11000000.0,5.391556,5.9,57.0
155,tt0112642,Casper,100328194.0,16840385.0,5.957595031229987,46.0,49.0,6.1,110534.0,1995,5.0,50000000.0,12.812539,6.0,1045.0
156,tt0112688,Clockers,13071518.0,4463560.0,2.928496088324118,69.0,71.0,6.9,19227.0,1995,9.0,25000000.0,4.558992,6.8,69.0
157,tt0112715,Congo,81022101.0,24642539.0,3.287895821124601,22.0,22.0,5.2,39818.0,1995,6.0,50000000.0,7.260574,5.0,214.0
158,tt0112740,Crimson Tide,91387195.0,18612190.0,4.910072108655672,88.0,66.0,7.3,95297.0,1995,5.0,53000000.0,8.657364999999999,7.0,508.0
159,tt0109508,Crumb,3041083.0,19859.0,153.13374288735585,95.0,93.0,8.0,16991.0,1994,9.0,,3.6203879999999997,7.6,71.0
160,tt0112851,Desperado,25405445.0,7910446.0,3.211632441457789,61.0,55.0,7.2,162617.0,1995,8.0,7000000.0,6.950458,6.8,898.0
161,tt0112857,Devil in a Blue Dress,16140822.0,5422385.0,2.9767015805775503,88.0,78.0,6.7,16166.0,1995,9.0,27000000.0,4.646132,6.3,88.0
162,tt0112864,Die Hard with a Vengeance,100012499.0,22162245.0,4.512742233469578,52.0,58.0,7.6,345971.0,1995,5.0,90000000.0,15.138855,6.9,2094.0
163,tt0112887,The Doom Generation,284785.0,27812.0,10.239644757658565,47.0,48.0,6.1,13175.0,1995,10.0,,7.120806,5.6,57.0
164,tt0113044,Feast of July,293274.0,22818.0,12.852747830660006,67.0,,6.4,466.0,1995,10.0,,0.523575,0.0,0.0
165,tt0113071,First Knight,37600435.0,10856442.0,3.4634215335005702,44.0,,6.0,64163.0,1995,7.0,55000000.0,15.178338,5.9,319.0
166,tt0113114,Free Willy 2: The Adventure Home,30077111.0,7039608.0,4.272554807029028,31.0,,5.0,16009.0,1995,7.0,,7.575098,5.5,130.0
167,tt0113243,Hackers,7563728.0,3173101.0,2.383702252150184,33.0,46.0,6.2,62531.0,1995,9.0,20000000.0,14.810519000000001,6.2,406.0
168,tt0113464,Jeffrey,3487767.0,185909.0,18.76061406386996,68.0,,6.8,5424.0,1995,8.0,,3.196456,6.5,19.0
169,tt0113481,Johnny Mnemonic,19075720.0,6033850.0,3.161450814985457,13.0,,5.7,63331.0,1995,5.0,25000000.0,11.715867999999999,5.5,380.0
170,tt0113492,Judge Dredd,34693481.0,12291536.0,2.822550493282532,17.0,,5.6,104600.0,1995,6.0,90000000.0,8.184814999999999,5.4,643.0
171,tt0113500,Jury Duty,17014653.0,4831622.0,3.5215198953891673,0.0,,4.3,7132.0,1995,4.0,,3.676921,4.0,34.0
172,tt0113540,Kids,7412216.0,85709.0,86.48118633982429,46.0,63.0,7.1,69008.0,1995,7.0,1500000.0,4.877872,6.8,280.0
173,tt0113677,Living in Oblivion,1111790.0,47965.0,23.17919316168039,88.0,81.0,7.5,15204.0,1995,1.0,500000.0,10.058328999999999,7.2,64.0
174,tt0113690,Lord of Illusions,13294422.0,4800258.0,2.769522388171636,61.0,,6.1,13627.0,1995,8.0,,4.102409,5.9,87.0
175,tt0107447,Love & Human Remains,542985.0,28280.0,19.200318246110324,69.0,,6.7,2354.0,1993,5.0,,0.354014,7.0,7.0
176,tt0113729,Mad Love,15453274.0,6820171.0,2.2658191414848687,,,5.4,5878.0,1995,5.0,,2.624771,5.5,27.0
177,tt0113749,Mallrats,2122561.0,1153838.0,1.839565866265455,56.0,41.0,7.1,110754.0,1995,10.0,6000000.0,8.255469999999999,6.8,400.0
178,tt0113820,Mighty Morphin Power Rangers: The Movie,38187431.0,13104788.0,2.914006010627566,37.0,40.0,5.2,23909.0,1995,6.0,15000000.0,7.0242270000000016,5.2,153.0
179,tt0113851,Moonlight and Valentino,2484226.0,1250912.0,1.985931864111944,15.0,,5.8,3287.0,1995,9.0,,1.01115,5.6,10.0
180,tt0110604,Mute Witness,1125910.0,560048.0,2.010381253035454,83.0,,6.7,5037.0,1995,9.0,2.0,2.466066,6.4,36.0
181,tt0110620,Nadja,443169.0,23846.0,18.58462635242808,64.0,64.0,6.0,2605.0,1994,9.0,,7.720056,5.9,12.0
182,tt0113957,The Net,50727965.0,10037745.0,5.053721229220308,40.0,51.0,5.9,57373.0,1995,7.0,22000000.0,13.304342000000002,5.6,359.0
183,tt0113986,Nine Months,69684532.0,12522240.0,5.564861558315445,26.0,47.0,5.5,33622.0,1995,7.0,,8.482834,5.5,171.0
184,tt0114095,Party Girl,472370.0,57237.0,8.252878382864232,78.0,55.0,6.6,4056.0,1995,6.0,150000.0,1.165039,5.8,14.0
185,tt0114194,The Prophecy,16115878.0,7510332.0,2.1458276411748507,43.0,,6.5,27588.0,1995,9.0,8.0,10.187623,6.4,139.0
187,tt0114323,Safe,512245.0,15830.0,32.35912823752369,86.0,76.0,7.2,11519.0,1995,6.0,,8.180047,7.2,62.0
188,tt0114345,The Scarlet Letter,10382407.0,4119086.0,2.520560871999274,13.0,,5.3,13718.0,1995,10.0,50000000.0,6.752119,5.5,111.0
189,tt0114435,The Show,2702578.0,1482892.0,1.8225049430437281,80.0,,6.8,314.0,1995,8.0,,0.15959600000000002,5.3,2.0
190,tt0114436,Showgirls,20350754.0,8112627.0,2.5085282486178646,22.0,16.0,4.8,58327.0,1995,9.0,45000000.0,17.502375,4.9,261.0
191,tt0114478,Smoke,8367636.0,70744.0,118.28050435372612,93.0,70.0,7.4,31607.0,1995,6.0,7000000.0,5.5529459999999995,7.2,115.0
192,tt0114496,Something to Talk About,50865589.0,11115697.0,4.576014351596665,39.0,,5.7,12096.0,1995,8.0,,3.743212,5.7,60.0
193,tt0114508,Species,60074103.0,17161943.0,3.500425505433738,43.0,49.0,5.8,70153.0,1995,7.0,35000000.0,13.492845,5.5,457.0
194,tt0114534,The Stars Fell on Henrietta,99318.0,16406.0,6.053760819212483,50.0,,6.5,666.0,1995,9.0,,0.913522,6.6,6.0
195,tt0114558,Strange Days,7959291.0,31062.0,256.23884489086345,62.0,66.0,7.2,63341.0,1995,10.0,42000000.0,11.223055,6.8,334.0
196,tt0058450,The Umbrellas of Cherbourg,28030.0,14760.0,1.8990514905149052,98.0,86.0,7.8,21089.0,1964,2.0,,8.133881,7.6,119.0
197,tt0114666,The Tie That Binds,5772529.0,2625339.0,2.198774710618324,8.0,,5.0,1031.0,1995,9.0,14000000.0,1.8204189999999998,4.6,9.0
198,tt0114663,Three Wishes,7027517.0,2601093.0,2.7017553774509406,13.0,,6.1,2525.0,1995,10.0,,11.002046,6.1,18.0
199,tt0114702,Total Eclipse,340139.0,131269.0,2.591160136818289,25.0,42.0,6.6,12524.0,1995,11.0,,4.546551999999998,6.5,112.0
